number,value,datetime_start,datetime_complete,duration,params_baggingFraction,params_baggingFreq,params_featureFraction,params_lambdaL1,params_lambdaL2,params_learningRate,params_maxBin,params_maxDepth,params_minDataInLeaf,params_minGainToSplit,params_numLeaves,user_attrs_best_iteration,user_attrs_fit_seconds,user_attrs_test_auc,user_attrs_valid_auc,system_attrs_fixed_params,state
26,0.6883768353406274,2026-05-25 02:31:39.894439,2026-05-25 02:31:45.341190,0 days 00:00:05.446751,0.7562727560810569,5,0.9294960759938989,0.9874399592365833,0.018582815660326234,0.0244335050603844,127,4,50,0.7867058786813887,15,295,5.354933738708496,0.7017972050515324,0.6883768353406274,,COMPLETE
27,0.6907211920285492,2026-05-25 02:31:45.404673,2026-05-25 02:31:51.046812,0 days 00:00:05.642139,0.7206445350039203,0,0.9191817542644708,0.13696817828093608,1.4480091232699,0.012365221621828548,63,6,200,0.8521482557007041,127,241,5.548198938369751,0.696701549871104,0.6907211920285492,,COMPLETE
28,0.690834126251064,2026-05-25 02:31:51.125174,2026-05-25 02:31:57.009794,0 days 00:00:05.884620,0.8566496837917901,1,0.7048586032359818,0.000978083243472914,0.00019692560894981836,0.016544714898812405,255,4,100,0.7350052300280989,31,499,5.782361268997192,0.7020550773254026,0.690834126251064,,COMPLETE
29,0.6873557289959168,2026-05-25 02:31:57.092850,2026-05-25 02:32:02.397747,0 days 00:00:05.304897,0.7443435845170685,0,0.9922722117759137,4.58836154091207e-06,0.002689362994893309,0.06165640212979563,127,-1,50,0.5978242042497262,31,-1,5.185749053955078,0.6920727483137812,0.6873557289959168,,COMPLETE
30,0.6913100509021861,2026-05-25 02:32:02.491950,2026-05-25 02:32:07.450658,0 days 00:00:04.958708,0.7705853628449003,5,0.8745670613563664,0.00734913277703235,2.4426507459846778e-06,0.10007152682996512,127,6,200,0.9351016935101575,63,47,4.84736967086792,0.6977170875106088,0.6913100509021861,,COMPLETE
31,0.6899012443297972,2026-05-25 02:32:07.520651,2026-05-25 02:32:12.441333,0 days 00:00:04.920682,0.7832126902661891,5,0.9569250287935744,0.0008082506390620165,9.37631686588049,0.012927011619847389,255,6,200,0.8774435271658703,63,29,4.813180685043335,0.6956786987481735,0.6899012443297972,,COMPLETE
32,0.690019224919728,2026-05-25 02:32:12.528889,2026-05-25 02:32:18.193380,0 days 00:00:05.664491,0.7154434647197746,5,0.9773309761180817,0.00016687654118717,3.380241173873138,0.028008228050370322,255,6,200,0.9451373149909724,63,123,5.569956302642822,0.69647673223886,0.690019224919728,,COMPLETE
33,0.6906511229269582,2026-05-25 02:32:18.259236,2026-05-25 02:32:23.926335,0 days 00:00:05.667099,0.7465689404344258,5,0.9126532923869022,2.238455267551657,0.34596124648451143,0.035918015962825504,255,6,200,0.6768753817537795,63,94,5.5800652503967285,0.6963427284913617,0.6906511229269582,,COMPLETE
34,0.6915426478371036,2026-05-25 02:32:24.005372,2026-05-25 02:32:29.880107,0 days 00:00:05.874735,0.7339842128790426,3,0.798654033738207,0.0015189879662892572,0.07893892591956264,0.02020753962326773,255,6,200,0.7751624279078806,63,246,5.7596940994262695,0.6952065471685706,0.6915426478371036,,COMPLETE
35,0.6898855251853176,2026-05-25 02:32:29.974758,2026-05-25 02:32:36.722313,0 days 00:00:06.747555,0.766539496302796,5,0.9750679157446676,7.773671317700519e-06,0.8606068897238462,0.015414955959881228,255,6,50,0.8600707758945978,15,584,6.655310392379761,0.6995728695333295,0.6898855251853176,,COMPLETE
